"wetland_id","site","site_type","block","date.x","year","time","temp","water","wind","uni_id_date","NOMO","OROR","COYE","PIWA","EAKI","CHSP","BLGR","RBWO","TUTI","EATO","NOCA","YBCU","BGGN","CARW","YTVI","CACH","GCFL","WOTH","DOWO","BASP","WBNU","SUTA","YBCH","NOPA","WEVI","EAWP","YTWA","REVI","EABL","RHWO","AMRO","RSHA","BHCO","INBU","BHNU","BRTH","MIKI","MODO","RWBL","COGR","PABU","RTHA","PIWO","BGNN","LBHE","BLJA","AMCR","ACFL","OVEN","WODU","GREG","GRHE","EWPE","KILL","BCSP","tree_sr","tree_dist","tree_dbh","tree_ba","tupelo_dbh","pine_dbh","other_dbh","date.y","time_start","time_end","property","type","bird_sr","shan_sr_1","shan_sr_2","agriculture","ditched","rain_24","inch_24","wetland_type","hydrology","last_dry","canopy_cover","canopy_dom","midstory_cover","midstory_dom","debris_cover","debris_dom","groundcover","herb_layer","dom_herb_group","water_cover","current_water_max","high_water_mark","burn_scars","duff","duff_depth","hydro_dist","wetland_disturbance","natural_community","canopy_dom_upland","canopy_cover_upland","midstory_cover_upland","midstory_dom_upland","herb_cover_upland","herb_dom_upland","stumps","burn_scars_upland","duff.1","duff_depth_upland","time_last_fire","tree_height_mean","tree_height_sd","crown_hull_mean","canopy_cover_sim","canopy_cover_sim.1"
"HH01","halidon","wetland",4,"5/26/2022",2022,"9:07",83,0,0.6,"HH01_5/26/2022",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.475,103.5,2219.48023188975,0,103.5,0,"5/2/2022","11:40","","halidon","wetland",NA,NA,1.735126,NA,NA,NA,NA,"Depression Marsh","Ephem","May 2022","0-25","none","25-50","Wax Myrtle","0-25","","75-100","Whole basin","Grasses","0-25",NA,NA,NA,NA,NA,"","","Mesic Flatwood","Longleaf","0-25","0-25","Sweetgum","75-100","Little Blue Stem, Solidago",TRUE,TRUE,NA,NA,NA,11.1533333333333,2.17640682471515,20.006,8.07339449541285,45.9285004965243
"HH01","halidon","wetland",4,"5/17/2022",2022,"7:14",71,0,0,"HH01_5/17/2022",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.475,103.5,2219.48023188975,0,103.5,0,"5/2/2022","11:40","","halidon","wetland",NA,NA,1.735126,NA,NA,NA,NA,"Depression Marsh","Ephem","May 2022","0-25","none","25-50","Wax Myrtle","0-25","","75-100","Whole basin","Grasses","0-25",NA,NA,NA,NA,NA,"","","Mesic Flatwood","Longleaf","0-25","0-25","Sweetgum","75-100","Little Blue Stem, Solidago",TRUE,TRUE,NA,NA,NA,11.1533333333333,2.17640682471515,20.006,8.07339449541285,45.9285004965243
"HH01","halidon","wetland",4,"6/14/22",2022,"6:50",78.6,0,0.7,"HH01_6/14/22",2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.475,103.5,2219.48023188975,0,103.5,0,"5/2/2022","11:40","","halidon","wetland",NA,NA,1.735126,NA,NA,NA,NA,"Depression Marsh","Ephem","May 2022","0-25","none","25-50","Wax Myrtle","0-25","","75-100","Whole basin","Grasses","0-25",NA,NA,NA,NA,NA,"","","Mesic Flatwood","Longleaf","0-25","0-25","Sweetgum","75-100","Little Blue Stem, Solidago",TRUE,TRUE,NA,NA,NA,11.1533333333333,2.17640682471515,20.006,8.07339449541285,45.9285004965243
"HH02","halidon","wetland",4,"5/17/2022",2022,"6:56",73,0,0,"HH02_5/17/2022",0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.3125,113.5,2843.05495770079,56.1,0,57.4,"9/10/2021","10:41","10:55","halidon","wetland",9,2.041345,2.293413,TRUE,TRUE,TRUE,4,"Dome Swamp","Ephem","Spring 2021","75-100","Black Gum","0-25","Sweetgum","0-25","","75-100","Whole basin","Grasses, Sedges","0-25",8,24,FALSE,FALSE,NA,"Ditch","None","Mesic Flatwood","Hardwood mix","0-25","0-25","Loblolly and Sweetgum","75-100","Switchcane, chasmanthiom",TRUE,TRUE,FALSE,NA,NA,17.6860869565217,5.53455461234536,23.5788260869565,59.6330275229358,50.9696590553644
"HH02","halidon","wetland",4,"6/7/22",2022,"6:56",72,0,0,"HH02_6/7/22",0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.3125,113.5,2843.05495770079,56.1,0,57.4,"9/10/2021","10:41","10:55","halidon","wetland",9,2.041345,2.293413,TRUE,TRUE,TRUE,4,"Dome Swamp","Ephem","Spring 2021","75-100","Black Gum","0-25","Sweetgum","0-25","","75-100","Whole basin","Grasses, Sedges","0-25",8,24,FALSE,FALSE,NA,"Ditch","None","Mesic Flatwood","Hardwood mix","0-25","0-25","Loblolly and Sweetgum","75-100","Switchcane, chasmanthiom",TRUE,TRUE,FALSE,NA,NA,17.6860869565217,5.53455461234536,23.5788260869565,59.6330275229358,50.9696590553644
"HH02","halidon","wetland",4,"6/14/22",2022,"6:36",78.4,0,0,"HH02_6/14/22",0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.3125,113.5,2843.05495770079,56.1,0,57.4,"9/10/2021","10:41","10:55","halidon","wetland",9,2.041345,2.293413,TRUE,TRUE,TRUE,4,"Dome Swamp","Ephem","Spring 2021","75-100","Black Gum","0-25","Sweetgum","0-25","","75-100","Whole basin","Grasses, Sedges","0-25",8,24,FALSE,FALSE,NA,"Ditch","None","Mesic Flatwood","Hardwood mix","0-25","0-25","Loblolly and Sweetgum","75-100","Switchcane, chasmanthiom",TRUE,TRUE,FALSE,NA,NA,17.6860869565217,5.53455461234536,23.5788260869565,59.6330275229358,50.9696590553644
"HH02","halidon","wetland",4,"05/14/2021",2021,"6:57",48,0,NA,"HH02_05/14/2021",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.3125,113.5,2843.05495770079,56.1,0,57.4,"9/10/2021","10:41","10:55","halidon","wetland",9,2.041345,2.293413,TRUE,TRUE,TRUE,4,"Dome Swamp","Ephem","Spring 2021","75-100","Black Gum","0-25","Sweetgum","0-25","","75-100","Whole basin","Grasses, Sedges","0-25",8,24,FALSE,FALSE,NA,"Ditch","None","Mesic Flatwood","Hardwood mix","0-25","0-25","Loblolly and Sweetgum","75-100","Switchcane, chasmanthiom",TRUE,TRUE,FALSE,NA,NA,17.6860869565217,5.53455461234536,23.5788260869565,59.6330275229358,50.9696590553644
"HH02","halidon","wetland",4,"05/17/2021",2021,"8:40",64,0,NA,"HH02_05/17/2021",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.3125,113.5,2843.05495770079,56.1,0,57.4,"9/10/2021","10:41","10:55","halidon","wetland",9,2.041345,2.293413,TRUE,TRUE,TRUE,4,"Dome Swamp","Ephem","Spring 2021","75-100","Black Gum","0-25","Sweetgum","0-25","","75-100","Whole basin","Grasses, Sedges","0-25",8,24,FALSE,FALSE,NA,"Ditch","None","Mesic Flatwood","Hardwood mix","0-25","0-25","Loblolly and Sweetgum","75-100","Switchcane, chasmanthiom",TRUE,TRUE,FALSE,NA,NA,17.6860869565217,5.53455461234536,23.5788260869565,59.6330275229358,50.9696590553644
"HH02","halidon","wetland",4,"05/24/2021",2021,"6:44",68,0,NA,"HH02_05/24/2021",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.3125,113.5,2843.05495770079,56.1,0,57.4,"9/10/2021","10:41","10:55","halidon","wetland",9,2.041345,2.293413,TRUE,TRUE,TRUE,4,"Dome Swamp","Ephem","Spring 2021","75-100","Black Gum","0-25","Sweetgum","0-25","","75-100","Whole basin","Grasses, Sedges","0-25",8,24,FALSE,FALSE,NA,"Ditch","None","Mesic Flatwood","Hardwood mix","0-25","0-25","Loblolly and Sweetgum","75-100","Switchcane, chasmanthiom",TRUE,TRUE,FALSE,NA,NA,17.6860869565217,5.53455461234536,23.5788260869565,59.6330275229358,50.9696590553644
"HH04","halidon","wetland",4,"5/26/2022",2022,"8:47",79,0,1.9,"HH04_5/26/2022",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.425,106,2464.18673765949,67,0,39,"9/10/2021","11:12","11:22","halidon","wetland",8,1.880985,2.240322,TRUE,TRUE,TRUE,4,"Dome Swamp","Ephem","Spring 2021","50-75","Black Gum","0-25","Wax Myrtle","0-25","","0-25","Edges","Sedges","75-100",18,24,FALSE,NA,NA,"Ditch","None","Mesic Flatwood","Longleaf","0-25","0","None","75-100","Little Blue Stem",TRUE,TRUE,FALSE,NA,2020,17.2979104477612,3.97948319216294,22.3063432835821,63.1192660550459,45.8161865569273
